seq_no,school_id,census_no,name,address,tel,email,province,district,zone,division,medium,sex,government_type,school_category,grade_span,difficulty,total_students
7163,1907015,18205,SRI BUDDHARAKKHITHA VIDYALAYA,MUGUNUWATAWANA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,146
7164,1907016,18206,SAWARANA MUSLIM VIDYALAYA,CHILAW,0322220815,smvsawarana@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,228
7165,1907018,18208,SRI VADIVAMBIGAI HINDU COLLEGE,"MUNNESWARAM, CHILAW",0322220847,vadivambigamv@sltnet.lk,North Western,Puttalam,Chilaw,Chilaw,Tamil,Mixed,Provincial,1C,Grade 1-13,Not Congenial,219
7166,1907019,18209,MANAKKULAMA JUNIOR SCHOOL,KAKKAPALLIYA,0322220507,chmanakjunior@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,270
7167,1907020,18211,BANDARAWATTA PRIMARY SCHOOL,KAKKAPALLIYA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,24
7168,1907021,18212,MUNNESWARAMA SINHALA PRIMARY SCHOOL,CHILAW,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,38
7169,1907022,18213,SIPPIKALANA K.V,MUGUNUWATAWANA,,sippikalana1@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Difficult,167
7170,1907023,18216,THISSOGAMA PRIMARY SCHOOL,ILLIPPADENIYA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,42
7171,1907024,18217,ARIYAGAMA SIDDHARTHA M.V.,MUGUNUWATAWANA,,ariyagamasiddhartha@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,1C,Grade 1-13,Very Difficult,297
7172,1907025,18218,SENANAYAKA NATIONAL SCHOOL,MADAMPE,0322247628,,North Western,Puttalam,Chilaw,Chilaw,Sinhala/ English,Mixed,National,1AB,Grade 6-13,Very Congenial,1893
7173,1907026,18219,KARUKKUWA SUGATHANANDA M.V.,MADAMPE,0322247572,ksugathananda@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,2105
7174,1907027,18220,ST.SEBASTIANS COLLEGE,MADAMPE,0322248643,msebastianscollege@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,519
7175,1907028,18221,HERATH GUNARATHNA M.V.,GALMURUWA,0322240963,herathgunarathnagal@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,1C,Grade 1-13,Very Congenial,884
7176,1907029,18222,THIMBIRIGASWELA JUNIOR SCHOOL,GALMURUWA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,131
7177,1907030,18223,ALMISBAH MUSLIM M.V.,"OLD TOWN, MADAMPE",0322248920,,North Western,Puttalam,Chilaw,Chilaw,Tamil,Mixed,Provincial,1C,Grade 1-13,Congenial,583
7178,1907031,18224,MUGUNUWATAWANA SENANAYAKA K.V,MADAMPE,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,131
7179,1907032,18225,SEMBUKATTIYA PRIMARY SCHOOL,MADAMPE,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,136
7180,1907033,18226,SUDUWELLA MODEL PRIMARY SCHOOL,MADAMPE,0322249420,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,371
7181,1907034,18227,PAMBALA VIDYALAYA,KAKKAPALLIYA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,123
7182,1907035,18228,GALMURUWA JUNIOR SCHOOL,GALMURUWA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,251
7183,1907036,18229,KADUPITI MADAMPE DHARMAPALA VIDYALAYA,MADAMPE,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,112
7184,1907037,18230,MEDAGAMA ABHAYA MODEL SCHOOL,PANIRENDAWA,0322240242,abhayamv@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,1AB,Grade 6-13,Congenial,1395
7185,1907038,18231,G.C.S.COREA M.V.,"KARAVITAGARA, CHILAW",0323323402,gcscorea12345@outlook.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,383
7186,1907039,18232,KOKKAWILA K.V,MUGUNUWATAWANA,0322245911,chkokkavilakv@gmail.com,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,302
7187,1907040,18233,MAHAGAMA K.V,MUGUNUWATAWANA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-8,Not Congenial,138
7188,1907041,18234,C.W.W.KANNANGARA M.M.V.,"PULIYANKARA, MUGUNUWATAWANA",0322060925,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,323
7189,1907042,18235,NANKADAWARA VIDYARTHA ADARSHA K.V,WEERAKODIYANA,0325710474,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,315
7190,1907043,18236,THAMBAGALLA PRIMARY SCHOOL,KAKKAPALLIYA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,402
7191,1907044,18237,ATHUWANA SENANAYAKE PRIMARY SCHOOL,MUGUNUWATAWANA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,130
7192,1907045,18238,PUNCHIWILATHTHAWA K.V,MUGUNUWATAWANA,0322058555,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,203
7193,1907046,18239,DEMATAPITIYA PRIMARY SCHOOL,KAKKAPALLIYA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,51
7194,1907047,18240,HEENAGARA PRIMARY SCHOOL,PANIRENDAWA,,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,126
7195,1907048,18241,DAMBAKELE PRIMARY SCHOOL,"KARAWITAGARA, CHILAW",,,North Western,Puttalam,Chilaw,Chilaw,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,147
7196,1910001,18243,ST JOSEPH VAZ COLLEGE,WENNAPPUWA,0312255317,principal@josephvazcollege.lk,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala/ English,Male,National,1AB,Grade 1-13,Very Congenial,3965
7197,1910002,18245,HOLY FAMILY BALIKA PRIMARY VIDYALAYA,WENNAPPUWA,0312257206,holyfamilybalikawennappuwa@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Female,Provincial,Type 3,Grade 1-5,Very Congenial,1006
7198,1910003,18246,HOLY FAMILY BALIKA MAHA VIDYALAYA,WENNAPPUWA,0312253324,wen holy family b.m.v@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala/ English,Female,Provincial,1AB,Grade 6-13,Very Congenial,2503
7199,1910004,18247,ST.FRANCIS X'AVIER KANISHTA VIDYALAYA,ULHITIYAWA,0312253402,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,288
7200,1910005,18248,ST.RITA'S COLLEGE,TALDEKA,0312257720,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,660
7201,1910007,18250,DUMMALADENIYA BUDDHIST JUNIOR SCHOOL,WENNAPPUWA,,dbjswennappuwa@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,137
7202,1910008,18251,ST.MARTIN DE PORES VIDYALAYA,WENNAPPUWA,0312255144,martindepores@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,555
7203,1910009,18253,GONSALVEZ MAHA VIDYALAYA,BOLAWATHTHA,0312259168,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,441
7204,1910010,18254,BORALESSA PRIMARY SCHOOL,BORALESSA LUNUWILA,0313615893,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,493
7205,1910011,18255,BORALESSA ST ANNAS MAHA VIDYALAYA,BORALESSA LUNUWILA,0312252102,stannemvboralessa@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,596
7206,1910012,18256,KAMMALA ST.ODILIYA KANISHTA VIDYALAYA,WAIKKALA,0312277729,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,148
7207,1910013,18257,WAIKKALA GOVERMENT SCHOO,WAIKKALA,0312272316,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,102
7208,1910014,18258,SINDATHRIYA SINDUKUMARI VIDYALAYA,SINDATHRIYA WAIKKALA,0312276485,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,453
7209,1910015,18259,THABARAWILA JUNIOR SCHOOL,THABARAWILA WAIKKALA,0718454525,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,293
7210,1910016,18260,GODELLA KANITU VIDYALAYA,GODALLA DANKOTUWA,0718036326,godella kv@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,220
7211,1910017,18261,GONAWILA ST.JOSEPH COLLEGE,GONAWILA DANKOTUWA,0312265288,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,82
7212,1910018,18262,NAINAMADAMA MAHA VIDYALAYA,NAINAMADAMA,0312254590,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1C,Grade 6-13,Very Congenial,243
7213,1910019,18263,ST.MARYS PRIMARY VIDYALAYA,NAINAMADAMA,0312249327,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,201
7214,1910020,18264,MIRISSANKOTUWA NIMALA MARIYA PRIMARY SCHOOL,MIRISSANKOTUWA NORTH LUNUWILA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,75
7215,1910021,18265,KATUKENDA SRI SANGABODHI CENTRAL COLLAGE,KATUKENDA DANKOTUWA,0312258711,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1AB,Grade 6-13,Very Congenial,1337
7216,1910022,18266,NIMALA MARIYA VIDYALAYA,DUMMALAKOTUWA DANKOTUWA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,407
7217,1910023,18267,ETIYAWALA K.V,DANKOTUWA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,206
7218,1910024,18269,JANKURAWELA VIDYALAYA,YOGIYANA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,116
7219,1910025,18270,DIKWELA PRIMARY SCHOOL,DIKWELA YOGIYANA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,159
7220,1910026,18271,WEKADA MAHA VIDYALAYA,YOGIYANA,0312299138,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1C,Grade 6-13,Very Congenial,1043
7221,1910027,18272,BUTHGAMPOLA GOVERMENT SCHOOL,IRABADAGAMA SADALANKAWA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,240
7222,1910028,18273,BUJJAMPOLA JUNIOR SCHOOL,BUJJAMPOLA DANKOTUWA,0312259428,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,337
7223,1910029,18274,MELLAWA K.V,MELLAWA LIHIRIYAGAMA,0314937227,mellawakv@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,720
7224,1910030,18275,MOHOTTIMULLA PRIMARY SCHOOL,MOHOTTIMULLA DANKOTUWA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,98
7225,1910031,18276,HALDANDUWANA ROMAN CATHOLIC SCHOOL,HALDANDUWANA DANKOTUWA,0315610392,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,323
7226,1910032,18277,HALDADUWANA BUDDHIST SCHOOL,HALDADUWANA DANKOTUWA,0724141050,h.buddhist.s.@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-8,Congenial,46
7227,1910033,18278,ANURUDDHA MADDHA MAHA VIDYALAYA,LUNUVILA,0312255726,www.anuruddhacc@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala/ English,Mixed,Provincial,1AB,Grade 6-13,Very Congenial,1005
7228,1910034,18279,LUNUWILA BUDDHIST PRIMARY SCHOOL,LUNUWILA,0312245147,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,322
7229,1910035,18280,LUNUWILA ROMAN CATHALIC PRIMARY SCHOOL,LUNUWILA,,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,58
7230,1910036,18281,BANDIRIPPUWA KANISHTA VIDYALAYA,BANDIRIPPUWA LUNUWILA,0312262156,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,248
7231,1910037,18282,BUDDHIST GIRLS' COLLEGE,KIRIMATIYANA LUNUWILA,0312262533,chwenbgc@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala/ English,Female,Provincial,1AB,Grade 1-13,Very Congenial,1961
7232,1910038,18283,KIRIMETIYANA SRI DHARMARAMA K.V,KIRIMETIYANA LUNUWILA,0312253789,sridharmarama@gmail.com,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,813
7233,1910039,18284,POTHUWATAWANA SRI JINARATHANA MAHA VIDDAYALA,POTHUWATAWANA,0312257925,,North Western,Puttalam,Chilaw,Wennappuwa,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,667
7234,1909001,18285,MAHAWEWA SRI DARMARAMA MAHA VIDYALAYA,MAHAWEWA,0322251734,dharmaramasri @ gmail .com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Very Congenial,394
7235,1909002,18286,THODUWAWA ST. ANTHONY'S NAVODYA MAHA VIDYALAYA,THODUWAWA,0322248301,thoduwawamv@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,990
7236,1909003,18287,MATTAKOTUWA KANISHTA VIDYALAYA,"MATTAKOTUWA, MAHAWEWA",0322059020,chmattakotuwakv@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,139
7237,1909004,18288,MATTAKOTUWA WERALA KANISHTA VIDYALAYA,THODUWAWA,0766094386,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,284
7238,1909005,18289,KOSWADIYA SARASWATHI VIDYALAYA,"KOSWADIYA, MAHAWEWA",0322252931,vidyalayasaraswathi@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-8,Very Congenial,286
7239,1909006,18290,IRANAWILA ST.PETER'S SCHOOL,"IRANAWILA, AMBAKADAWILA",0775231313,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Difficult,569
7240,1909007,18291,KUDAWEWA BAUDDA KANISHTA VIDYALAYA,KUDAWEWA,0778428750,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,178
7241,1909008,18292,ST.XAVIER'S M.M.V.,MARAVILA,0322254436,stxaviersmaravila@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala/ English,Male,Provincial,1AB,Grade 1-13,Very Congenial,1193
7242,1909009,18293,MARAWILA HOLY FAMILY BALIKA MADYA MAHA VIDYALAYA,MARAWILA,0322254324,hfbmarawila @ gmail . com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala/ English,Female,Provincial,1AB,Grade 6-13,Very Congenial,1340
7243,1909010,18294,THALWILA ST.THERESA K.V.,"THALWILA, MARAWILA",0717249080,s.theresaviduhala@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,135
7244,1909011,18296,HORAGOLLA VIDYALAYA,MARAWILA,0322250491,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,185
7245,1909012,18297,MARAWILA BOYS'JUNIOR SCHOOL3,MARAWILA,0322255114,marawilaboys@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Male,Provincial,Type 2,Grade 1-11,Congenial,646
7246,1909013,18298,HOLY FAMILY BALIKA PRIMARY SCHOOL,MARAWILA,0322254761,hfbvm@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Female,Provincial,Type 3,Grade 1-5,Very Congenial,592
7247,1909014,18299,MARANDAWELLA JUNIOR SCHOOL,MARAWILA,0723119777,marandawellajunior school @ gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,62
7248,1909015,18300,HATHTHINIYA MODEL SCHOOL,"HATHTHINIYA, MARAWILA",0322255571,haththiniyamodelschool@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,422
7249,1909016,18301,THALWILAWELLA KANISHTA VIDYALAYA,THALWILAWELLA,0769061980,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Difficult,79
7250,1909017,18302,DHAMMISSARA NATIONAL SCHOOL,NATHTHANDIYA,0322254312,dhamsuru@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala/ English,Mixed,National,1AB,Grade 1-13,Very Congenial,4032
7251,1909018,18303,LOURDES COLLEGE,NATHTHANDIYA,0322254597,lcnaththandiya@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Very Congenial,1252
7252,1909034,18304,PREIDENT COLLEGE,NATHTHANDIYA,0322250606,naththandiya-janadhipathi @ gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,1606
7253,1909020,18305,THABBOWA KANISHTA VIDYALAYA,"THABBOWA""NATHTHANDIYA",0716437246,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,205
7254,1909021,18306,KOTTARAMULLA GOVERNMENT SINHALA SCHOOL,"PAHALA KOTTARAMULLA, IHALA KOTTARAMULLA",0767101771,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,233
7255,1909022,18307,PILAKATUMULLA JUNIOR SCHOOL,"PILAKATUMULLA, NATTANDIYA",0771869757,pilakatumulla junior @ gmail.com.,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,90
7256,1909023,18308,ALHIRA MUSLIM M.V.,IHALA KOTTARAMULLA,0322255369,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala/ Tamil/ English,Mixed,Provincial,1C,Grade 1-13,Congenial,868
7257,1909024,18309,ZAHIRA MUSLIM VIDYALAYA,"ZAHIRA MAWATTHA, NATHTHANDIYA",0773260009,zahiranatand@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Congenial,308
7258,1909025,18310,THUMMODARA MUSLIM VIDYALAYA,"HUMMODARA, NATHTHANDIYA",0718555354,,North Western,Puttalam,Chilaw,Nattandiya,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Not Congenial,186
7259,1909026,18311,KATUNERIYA ST.SEBASTIANS CENTRAL COLLEGE,KATUNERIYA,0312255530,sebastianscollegekatuneriya@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala/ English,Mixed,Provincial,1AB,Grade 6-13,Very Congenial,1820
7260,1909027,18312,DEMATAPITIYA JUNIOR COLLEGE,DEMATAPITIYA - LUNUWILA,0717977762,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,186
7261,1909028,18313,MUDUKATUWA ROMAN CATHOLIC SCHOOL,"MUDUKATUWA, MARAWILA",0322059633,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,144
7262,1909029,18314,SUMANADHAMMA M.V,"MUDUKATUWA, MARAWILA",0763216702,sumanadhammamv@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,358
7263,1909030,18315,MAWILA MAHINDA BUDDHIST KNISHTA VIDYALAYA,"MAWILA, NATTANDIYA",0774740826,mawilambkv@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,126
7264,1909031,18316,MAWILA JAYALATHMATHA JUNIOR SCHOOL,"MAWILA, NATHTHANDIYA",0776251462,aravindanisantha700@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,32
7265,1909032,18317,IHALA KATUNERIYA PRIMARY COLLEGE,"IHALA KATUNERIYA, KATUNERIYA",0312257901,iktnps@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,181
7266,1909033,18319,WALAHAPITIYA MAHA VIDYALAYA,NATHTHANDIYA,0323021361,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,427
7267,1909049,18320,THALGASAGARA PRIMARY VIDYALAYA,"MUTTIBEDIWILA, NATHTHANDIYA",0728444433,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,55
7268,1909035,18321,YATAKALANA DHARMA WIJAYA K.V.,"MUTTIBEDIWILA, NATHTHANDIYA",0777068892,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,409
7269,1909036,18322,HEWANA K.V.,WELLIPENNAGAHAMULLA,0719235747,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,179
7270,1909037,18323,MEDAGODA KANISHTA VIDYALAYA,"MEDAGODA, MUTTIBEDIWILA, NATHTHANDIYA",0765430861,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,53
7271,1909038,18325,PAHALA WALAHAPITIYA DHARMARAJA KANISHTA VIDYALAYA,"PAHALA WALAHAPITIYA, NATHTHANDIYA",0325618710,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,128
7272,1909039,18326,NARAWILA SRI GUNARATHANA M.M.V.,"NARAWILA, KOSWATTA",0323325060,narawilagunarathana@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,590
7273,1909040,18327,DUNKANNAWA KANISHTA VIDYALAYA,DUNKANNAWA,0713261703,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,316
7274,1909041,18328,SRI SEELANANDA MAHA VIDYALAYA,KOSWATTA,0323325388,sriseelananda61@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,302
7275,1909042,18329,YAKDESSAWA JUNIOR SCHOOL,YAKDESSAWA,0785316714,yakdessawa k v @ gmail. com,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,164
7276,1909043,18331,PALUWELGALA KANISHTA VIDYALAYA,IHALA KOTTARAMULLA,0714117360,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,142
7277,1909044,18332,MORAKALE BUDDHIST SCHOOL,"MORAKALE, IHALA KOTTARAMULLA",0779315703,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,118
7278,1909045,18333,MEEGAHAWELA PRIMARY SCHOOL,"MEEGAHAWELA, KOSWATTA",0712737446,,North Western,Puttalam,Chilaw,Nattandiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,17
7279,1909046,18335,NARAWILA MUSLIM VIDYALAYA,"NARAWILA, KOSWATTA",0713136353,,North Western,Puttalam,Chilaw,Nattandiya,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Not Congenial,140
7280,1909047,18336,MANINGALA MUSLIM VIDYALAYA,"MANINGALA, DUNKANNAWA",0770479191,maningalamv@gmail.com,North Western,Puttalam,Chilaw,Nattandiya,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,79
7281,1903035,18337,PARAMAKANDA P.V.,"PARAMAKANDA, ANAMADUWA",0716144420,,North Western,Puttalam,Puttalam,Anamaduwa,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,65
